,position
5764,1.0
16630,3.0
413,2.0
7925,1.0
3502,3.0
15209,2.0
19080,2.0
8726,3.0
12025,1.0
11800,1.0
862,3.0
7069,3.0
2422,1.0
1656,1.0
1268,2.0
9062,1.0
9212,3.0
16145,3.0
18579,3.0
17688,0.0
8375,2.0
11613,1.0
12963,1.0
12777,2.0
14411,3.0
7317,3.0
12272,0.0
8948,3.0
30,3.0
17021,0.0
11436,3.0
17725,1.0
1827,2.0
9787,3.0
6541,2.0
1046,1.0
210,3.0
4466,3.0
18103,1.0
1819,0.0
8847,2.0
12294,1.0
13925,2.0
108,3.0
12059,1.0
10429,1.0
7423,1.0
865,0.0
14143,1.0
1430,2.0
10885,1.0
11567,3.0
14943,2.0
3081,3.0
14406,2.0
4598,1.0
16548,0.0
17185,3.0
15395,3.0
16112,1.0
6915,2.0
6484,0.0
12573,1.0
596,2.0
15411,1.0
9174,1.0
1751,3.0
12789,0.0
4348,3.0
3472,2.0
18660,0.0
10151,3.0
17169,1.0
16587,3.0
11599,2.0
8378,2.0
5636,2.0
4788,3.0
12426,0.0
14033,3.0
17512,3.0
11647,3.0
13726,1.0
3570,3.0
5826,3.0
15326,3.0
7214,1.0
18032,0.0
5391,2.0
6456,3.0
6602,1.0
3840,2.0
6774,1.0
14111,2.0
2648,3.0
4095,0.0
2783,0.0
15488,2.0
12310,1.0
627,2.0
10737,2.0
9253,1.0
1022,0.0
2124,1.0
7170,3.0
3588,2.0
7035,2.0
8609,3.0
8451,1.0
6649,1.0
10827,1.0
10969,2.0
102,2.0
15414,0.0
19213,1.0
14237,0.0
16877,1.0
4611,2.0
14944,1.0
12972,1.0
8317,3.0
15533,2.0
4714,1.0
3005,2.0
2689,1.0
3481,3.0
15064,2.0
5049,1.0
2975,0.0
13260,1.0
12473,3.0
3573,0.0
14148,1.0
14030,1.0
17642,2.0
15903,3.0
6356,3.0
15392,3.0
11616,0.0
3448,2.0
3403,3.0
8223,3.0
3368,3.0
9811,1.0
8341,3.0
6954,2.0
8582,2.0
7667,3.0
16601,2.0
14895,0.0
8003,1.0
9604,1.0
1665,2.0
1238,1.0
15474,1.0
8803,1.0
1530,1.0
10085,0.0
6027,2.0
7131,3.0
794,1.0
18944,1.0
11587,1.0
7532,1.0
18436,0.0
2508,2.0
8693,1.0
16330,2.0
17045,1.0
5953,3.0
3863,1.0
13027,1.0
7700,1.0
18125,3.0
5043,3.0
8519,3.0
8070,3.0
4978,1.0
8780,0.0
10565,1.0
10068,2.0
18945,3.0
3971,1.0
4493,1.0
17243,1.0
3957,3.0
9367,2.0
1183,1.0
17057,3.0
17630,2.0
2319,3.0
1364,2.0
6594,3.0
11570,2.0
5784,2.0
10226,0.0
587,2.0
1642,0.0
12275,2.0
3194,1.0
17387,2.0
1295,2.0
12630,1.0
632,1.0
1272,1.0
4369,1.0
4562,3.0
14524,3.0
16579,2.0
3014,1.0
7102,1.0
13467,0.0
7850,2.0
5236,1.0
18962,3.0
7974,2.0
15695,2.0
7853,0.0
12214,1.0
15108,2.0
18658,1.0
11055,3.0
18674,2.0
18301,3.0
15319,2.0
15324,3.0
2424,2.0
17304,2.0
10783,1.0
15576,3.0
13670,3.0
18713,3.0
17983,1.0
13464,1.0
12325,1.0
13337,1.0
7562,2.0
3933,0.0
11180,2.0
12800,1.0
10074,3.0
19125,0.0
17871,3.0
873,1.0
317,2.0
8417,3.0
372,3.0
8434,1.0
2411,2.0
5102,3.0
12327,2.0
18198,1.0
3793,3.0
16538,2.0
8392,2.0
7070,2.0
6369,2.0
11562,1.0
11685,1.0
12720,1.0
12268,3.0
13800,2.0
16996,0.0
3885,1.0
11126,2.0
4935,0.0
9762,3.0
19111,3.0
14271,2.0
4238,3.0
14114,0.0
6752,2.0
19140,2.0
4067,2.0
1977,3.0
5553,1.0
480,2.0
1276,1.0
14176,1.0
10966,2.0
19050,1.0
8882,1.0
15861,1.0
14112,1.0
12662,1.0
3851,0.0
16933,3.0
9001,1.0
16198,1.0
14731,1.0
14230,0.0
6314,1.0
18081,2.0
12127,2.0
738,2.0
15461,1.0
4181,3.0
874,1.0
5974,3.0
8203,1.0
3748,1.0
19091,2.0
7000,0.0
8752,1.0
12911,1.0
14426,1.0
650,2.0
14961,2.0
18126,1.0
14982,0.0
3270,1.0
12666,0.0
11035,3.0
7906,1.0
6329,1.0
11536,2.0
838,3.0
5684,3.0
1423,1.0
4494,2.0
12474,2.0
17632,2.0
2173,1.0
5643,3.0
4113,3.0
9702,1.0
6788,2.0
17166,1.0
7337,2.0
17691,1.0
17391,0.0
2347,3.0
3934,3.0
12338,1.0
4912,1.0
9812,0.0
10065,1.0
14084,1.0
16046,1.0
12485,0.0
3874,1.0
12874,1.0
6625,2.0
18916,0.0
9898,3.0
8477,3.0
16870,2.0
18742,0.0
10141,2.0
15573,2.0
14097,2.0
12808,1.0
12620,3.0
9488,2.0
15912,0.0
13524,2.0
1341,2.0
4160,2.0
14430,0.0
14012,3.0
14272,1.0
9550,2.0
19135,3.0
10523,2.0
221,0.0
16768,3.0
10677,1.0
16588,2.0
18542,2.0
3706,0.0
1672,3.0
488,2.0
18750,0.0
12382,3.0
2937,1.0
19209,3.0
14742,1.0
15584,2.0
6519,1.0
12175,2.0
8079,3.0
3059,2.0
17575,1.0
8911,1.0
5059,2.0
1683,2.0
15963,1.0
4103,2.0
6155,1.0
16072,2.0
4356,2.0
17941,2.0
13305,3.0
4984,1.0
17559,2.0
1724,1.0
1607,1.0
11630,2.0
5688,1.0
10905,3.0
16532,1.0
4619,2.0
11629,0.0
7150,2.0
2745,1.0
597,3.0
6413,1.0
11863,3.0
13731,1.0
10461,3.0
1748,3.0
9441,0.0
13120,2.0
3330,2.0
6302,3.0
18023,1.0
16126,2.0
8632,3.0
11358,1.0
6699,1.0
13507,3.0
10326,2.0
18401,2.0
6561,1.0
8717,0.0
13891,1.0
11465,3.0
10139,3.0
17361,2.0
6449,1.0
8657,2.0
6337,1.0
8160,1.0
8455,2.0
11825,0.0
5266,2.0
1425,1.0
4747,1.0
12077,2.0
7298,3.0
9953,0.0
7311,2.0
9203,1.0
13240,3.0
1444,2.0
1101,2.0
5961,2.0
16415,3.0
15629,3.0
1918,1.0
5562,1.0
8900,1.0
12319,3.0
13908,1.0
17496,0.0
4963,0.0
5823,2.0
14775,2.0
17262,1.0
5815,3.0
2515,1.0
2361,3.0
11245,1.0
129,2.0
11631,0.0
7522,1.0
8917,1.0
18244,1.0
7971,3.0
10489,2.0
13106,3.0
5886,2.0
3153,0.0
5936,0.0
18071,1.0
6235,2.0
13459,1.0
17311,1.0
16160,2.0
5281,1.0
8563,3.0
18170,0.0
12446,2.0
4089,1.0
17687,0.0
4215,3.0
4872,1.0
16895,0.0
7610,3.0
9808,0.0
18418,1.0
4703,1.0
6970,1.0
131,3.0
7454,2.0
6124,2.0
15923,0.0
13163,3.0
10680,1.0
11019,1.0
2901,1.0
11053,2.0
12088,3.0
7335,3.0
17917,2.0
1898,1.0
18682,0.0
12669,3.0
307,3.0
269,1.0
8639,1.0
8497,3.0
7159,3.0
17221,0.0
14394,0.0
142,2.0
9366,1.0
10659,3.0
6850,3.0
11124,3.0
17297,3.0
17783,1.0
1503,2.0
8885,1.0
13541,0.0
9453,2.0
742,1.0
657,1.0
9536,1.0
9864,1.0
7571,2.0
12796,1.0
9473,2.0
14582,1.0
6953,3.0
2808,2.0
19181,2.0
18860,1.0
2090,1.0
199,1.0
9447,1.0
901,2.0
10552,3.0
10041,2.0
2919,1.0
15993,3.0
14312,0.0
473,2.0
2754,2.0
16287,1.0
16313,1.0
14475,2.0
10485,0.0
14831,2.0
15457,0.0
7351,1.0
5837,1.0
3958,3.0
15922,2.0
13605,0.0
13753,3.0
16216,3.0
7828,2.0
14753,3.0
4515,2.0
8266,1.0
1995,1.0
10359,3.0
5695,2.0
2130,2.0
14326,3.0
8965,3.0
223,3.0
13836,1.0
8100,2.0
166,1.0
14692,3.0
16627,2.0
3240,1.0
18225,1.0
10408,3.0
15792,1.0
13513,0.0
18519,1.0
4647,2.0
14909,1.0
12906,1.0
4400,3.0
7237,3.0
10716,2.0
7244,2.0
14964,1.0
10194,0.0
3871,0.0
16455,2.0
904,1.0
14435,1.0
14201,2.0
1015,2.0
9036,2.0
11365,1.0
12024,0.0
14619,3.0
1903,3.0
1036,1.0
1330,1.0
4293,0.0
6112,1.0
6040,1.0
1619,1.0
11689,1.0
13073,1.0
7722,2.0
12618,2.0
9997,3.0
17142,1.0
12849,1.0
7401,3.0
6206,3.0
18108,0.0
2416,1.0
